nombre,descripcion,categoria,precio,stock
Shampoo Anticaída,Shampoo profesional con biotina y keratina,Cuidado Capilar,15.00,30
Acondicionador Hidratante,Restaura y nutre el cabello seco,Cuidado Capilar,12.50,25
Tijera Profesional 6",Acero japonés para corte preciso,Barbería,35.00,10
Navaja Clásica,Navaja de afeitar con mango de madera,Barbería,18.00,15
Cera Moldeadora,Fijación fuerte con acabado mate,Barbería,8.50,40
Esmalte Gel Rojo,Esmalte semipermanente larga duración,Manicura,6.00,50
Kit Uñas Acrílicas,Set completo con polvo y líquido,Manicura,22.00,12
Tinte Rubio Platino,Tinte profesional sin amoniaco,Peluquería,14.00,20
Decolorante en Polvo,Decoloración hasta 9 tonos,Peluquería,10.00,35
Secador Profesional 2200W,Motor AC de larga duración,Peluquería,45.00,8
